to be;was/were;been;zijn
to become;became;become;worden
to begin;began;begun;beginnen
to bet;bet;bet;wedden
to bite;bit;bitten;bijten
to break;broke;broken;breken
to bring;brought;brought;brengen
to build;built;built;bouwen
to burn;burnt/burned;burnt/burned;branden
to buy;bought;bought;kopen
to catch;caught;caught;vangen
to choose;chose;chosen;kiezen
to come;came;come;komen
to cost;cost;cost;kosten
to cut;cut;cut;knippen/snijden
to dig;dug;dug;graven
to do;did;done;doen
to draw;draw;drawn;tekenen
to drink;drank;drunk;drinken
to drive;drove;driven;rijden
to eat;ate;eaten;eten
to fall;fell;fallen;vallen
to feed;fed;fed;eten geven
to feel;felt;felt;voelen
to fight;fought;fought;vechten
to find;found;found;vinden
to flee;fled;fled;vluchten
to fly;flew;flown;vliegen
to forget;forgot;forgotten;vergeten
to freeze;froze;forzen;(be)vriezen
to get;got;got/gotten;krijgen
to give;gave;given;geven
to go;went;gone;gaan
to grow;grew;grown;groeien
to have;had;had;hebben
to hang;hung;hung;hangen
to hear;heard;heard;horen
to hide;hid;hidden;verstoppen
to hit;hit;hit;slaan/raken
